"Return_Period","I_a","I_b","I_c","I_d","I_e","I_f","I_g","I_h","I_i"
2,2.50037665152295,4.73569852375593,6.69915479417356,10.6064556435431,18.8594582339678,36.8523327700147,44.8232682525114,66.2894973624502,104.069242754884
5,3.25263904605054,5.79238918550605,8.10282585740526,12.3874794779964,20.8061123012484,40.7483256547247,49.1794307348508,74.3243408138625,113.855961536648
10,3.75070220773856,6.43549237545236,8.94997062344715,13.434476378713,21.9023632832775,43.3278119459294,51.6224432461814,78.9047224474152,119.332630806794
15,4.03170523477248,6.78264410428756,9.40528314925193,13.9895948381494,22.4708324516414,44.7831363139561,52.8865780049592,81.2949427694074,122.163356250918
30,4.50329652166481,7.34499482206455,10.1401296137262,14.875248962027,23.3609352737167,47.2255238526521,54.8623798235549,85.0574890660668,126.583514748375
50,4.846860082367,7.74176372754011,10.6567115283371,15.4907575570226,23.9681001753429,49.0048513820867,56.2077119934386,87.6376646090088,129.590390806698
